0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,10
28,80
29,100
30,200
31,300
32,800
33,1000
34,5000
35,5400
36,5800
37,6000
38,5500
39,5000
40,4500
41,2000
42,1000
43,500
44,300
45,200
46,80
47,90
48,100
49,200
50,250
51,300
52,350
53,300
54,200
55,100
56,50
57,10
58,20
59,30
60,40
61,50
62,55
63,50
64,45
65,40
66,30
67,10
68,5
69,3
70,2
71,3
72,1
73,2
74,1
75,2
76,3
77,2
78,1
79,2
80,1
81,2
82,1
83,2
84,3
85,2
86,1
87,2
88,1
89,2
90,1
91,2
92,3
93,2
94,1
95,2
96,1
97,2
98,1
99,2
100,3
101,2
102,1
103,2
104,1
105,2
106,1
107,2
108,3
109,2
110,1
111,2
112,1
113,2
114,1
115,2
116,3
117,2
118,1
119,2
120,4
121,5
122,5
123,6
124,6
125,5
126,4
127,4
128,3
129,2
130,1
131,3
132,4
133,1
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,4
252,2
253,6
254,3
255,2
